,window_id,item_id_seq_train,item_id_target,wrong_time_delta_interaction,session,dup_check,dup_item_id_seq_train_list,item_id_sum,dup_id
633,633,1 2,2,0 0,926.0,1 2_2,"[1, 2]",3,7
631,631,1 2,3,0 0,926.0,1 2_3,"[1, 2]",3,8
614,614,1 2,3,0 0,904.0,1 2_3,"[1, 2]",3,8
616,616,1 2,3,0 0,909.0,1 2_3,"[1, 2]",3,8
149,149,1 3 2,2,0 0 0,439.0,1 3 2_2,"[1, 3, 2]",6,9
150,150,1 3 2,2,0 0 0,439.0,1 3 2_2,"[1, 3, 2]",6,9
201,201,1 3 2,2,0 0 0,479.0,1 3 2_2,"[1, 3, 2]",6,9
151,151,1 3,2,0 0,439.0,1 3_2,"[1, 3]",4,10
202,202,1 3,2,0 0,479.0,1 3_2,"[1, 3]",4,10
174,174,1 4 5,2,0 0 0,456.0,1 4 5_2,"[1, 4, 5]",10,11
1209,1209,1 4 5,2,0 0 0,1383.0,1 4 5_2,"[1, 4, 5]",10,11
340,340,1 4,5,0 0,692.0,1 4_5,"[1, 4]",5,12
175,175,1 4,5,0 0,456.0,1 4_5,"[1, 4]",5,12
1210,1210,1 4,5,0 0,1383.0,1 4_5,"[1, 4]",5,12
342,342,1 5,5,0 0,693.0,1 5_5,"[1, 5]",6,13
458,458,1 5,5,0 0,769.0,1 5_5,"[1, 5]",6,13
2571,2571,1 5,5,0 0,2588.0,1 5_5,"[1, 5]",6,13
1213,1213,11,7,0,1387.0,11_7,[11],11,14
1827,1827,11,7,0,1882.0,11_7,[11],11,14
2710,2710,11,7,0,2911.0,11_7,[11],11,14
4279,4279,11,7,0,5136.0,11_7,[11],11,14
2712,2712,11,7,0,2925.0,11_7,[11],11,14
925,925,15 1,7,0 0,1259.0,15 1_7,"[15, 1]",16,15
890,890,15 1,7,0 0,1229.0,15 1_7,"[15, 1]",16,15
1263,1263,15 1,7,0 0,1400.0,15 1_7,"[15, 1]",16,15
2202,2202,15 2 15,7,0 0 0,2052.0,15 2 15_7,"[15, 2, 15]",32,16
1026,1026,15 2 15,7,0 0 0,1312.0,15 2 15_7,"[15, 2, 15]",32,16
2143,2143,15 2 4 5 7 5 15 4 5 7 15 7 5 2 5 15 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2032.0,15 2 4 5 7 5 15 4 5 7 15 7 5 2 5 15 5_5,"[15, 2, 4, 5, 7, 5, 15, 4, 5, 7, 15, 7, 5, 2, 5, 15, 5]",123,17
2144,2144,15 2 4 5 7 5 15 4 5 7 15 7 5 2 5 15 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2032.0,15 2 4 5 7 5 15 4 5 7 15 7 5 2 5 15 5_5,"[15, 2, 4, 5, 7, 5, 15, 4, 5, 7, 15, 7, 5, 2, 5, 15, 5]",123,17
2351,2351,15 2 5 7 5,5,0 0 0 0 0,2185.0,15 2 5 7 5_5,"[15, 2, 5, 7, 5]",34,18
2349,2349,15 2 5 7 5,5,0 0 0 0 0,2185.0,15 2 5 7 5_5,"[15, 2, 5, 7, 5]",34,18
2350,2350,15 2 5 7 5,5,0 0 0 0 0,2185.0,15 2 5 7 5_5,"[15, 2, 5, 7, 5]",34,18
2353,2353,15 2 5,7,0 0 0,2185.0,15 2 5_7,"[15, 2, 5]",22,19
2448,2448,15 2 5,7,0 0 0,2249.0,15 2 5_7,"[15, 2, 5]",22,19
2416,2416,15 2 7,15,0 0 0,2217.0,15 2 7_15,"[15, 2, 7]",24,20
2443,2443,15 2 7,15,0 0 0,2244.0,15 2 7_15,"[15, 2, 7]",24,20
1028,1028,15 2,15,0 0,1312.0,15 2_15,"[15, 2]",17,21
2203,2203,15 2,15,0 0,2052.0,15 2_15,"[15, 2]",17,21
2449,2449,15 2,5,0 0,2249.0,15 2_5,"[15, 2]",17,22
2354,2354,15 2,5,0 0,2185.0,15 2_5,"[15, 2]",17,22
2446,2446,15 2,7,0 0,2247.0,15 2_7,"[15, 2]",17,23
2444,2444,15 2,7,0 0,2244.0,15 2_7,"[15, 2]",17,23
2417,2417,15 2,7,0 0,2217.0,15 2_7,"[15, 2]",17,23
2288,2288,15 2,7,0 0,2130.0,15 2_7,"[15, 2]",17,23
1359,1359,15 2,7,0 0,1563.0,15 2_7,"[15, 2]",17,23
1926,1926,15 3 2,5,0 0 0,1914.0,15 3 2_5,"[15, 3, 2]",20,24
1552,1552,15 3 2,5,0 0 0,1666.0,15 3 2_5,"[15, 3, 2]",20,24
1553,1553,15 3,2,0 0,1666.0,15 3_2,"[15, 3]",18,25
1928,1928,15 3,2,0 0,1914.0,15 3_2,"[15, 3]",18,25
994,994,15 4 5 7,15,0 0 0 0,1300.0,15 4 5 7_15,"[15, 4, 5, 7]",31,26
1219,1219,15 4 5 7,15,0 0 0 0,1390.0,15 4 5 7_15,"[15, 4, 5, 7]",31,26
996,996,15 4 5 7,7,0 0 0 0,1300.0,15 4 5 7_7,"[15, 4, 5, 7]",31,27
995,995,15 4 5 7,7,0 0 0 0,1300.0,15 4 5 7_7,"[15, 4, 5, 7]",31,27
1220,1220,15 4 5,7,0 0 0,1390.0,15 4 5_7,"[15, 4, 5]",24,28
1040,1040,15 4 5,7,0 0 0,1319.0,15 4 5_7,"[15, 4, 5]",24,28
997,997,15 4 5,7,0 0 0,1300.0,15 4 5_7,"[15, 4, 5]",24,28
1288,1288,15 4 5,7,0 0 0,1409.0,15 4 5_7,"[15, 4, 5]",24,28
998,998,15 4,5,0 0,1300.0,15 4_5,"[15, 4]",19,29
1289,1289,15 4,5,0 0,1409.0,15 4_5,"[15, 4]",19,29
1041,1041,15 4,5,0 0,1319.0,15 4_5,"[15, 4]",19,29
1221,1221,15 4,5,0 0,1390.0,15 4_5,"[15, 4]",19,29
810,810,15 5 7 15 2 7 15 17 7 15 7 15 7 15 1 2 15 7 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1189.0,15 5 7 15 2 7 15 17 7 15 7 15 7 15 1 2 15 7 15 7_7,"[15, 5, 7, 15, 2, 7, 15, 17, 7, 15, 7, 15, 7, 15, 1, 2, 15, 7, 15, 7]",196,30
811,811,15 5 7 15 2 7 15 17 7 15 7 15 7 15 1 2 15 7 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1189.0,15 5 7 15 2 7 15 17 7 15 7 15 7 15 1 2 15 7 15 7_7,"[15, 5, 7, 15, 2, 7, 15, 17, 7, 15, 7, 15, 7, 15, 1, 2, 15, 7, 15, 7]",196,30
1070,1070,15 5 7,7,0 0 0,1334.0,15 5 7_7,"[15, 5, 7]",27,31
1071,1071,15 5 7,7,0 0 0,1334.0,15 5 7_7,"[15, 5, 7]",27,31
1812,1812,15 5,5,0 0,1878.0,15 5_5,"[15, 5]",20,32
1811,1811,15 5,5,0 0,1878.0,15 5_5,"[15, 5]",20,32
1810,1810,15 5,5,0 0,1878.0,15 5_5,"[15, 5]",20,32
831,831,15 5,7,0 0,1189.0,15 5_7,"[15, 5]",20,33
1072,1072,15 5,7,0 0,1334.0,15 5_7,"[15, 5]",20,33
1214,1214,15 5,7,0 0,1389.0,15 5_7,"[15, 5]",20,33
2171,2171,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2048.0,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4_4,"[15, 7, 15, 2, 4, 5, 4, 7, 15, 7, 15, 7, 15, 11, 7, 15, 7, 15, 7, 2, 6, 4]",192,34
2170,2170,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2048.0,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4_4,"[15, 7, 15, 2, 4, 5, 4, 7, 15, 7, 15, 7, 15, 11, 7, 15, 7, 15, 7, 2, 6, 4]",192,34
2169,2169,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2048.0,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4_4,"[15, 7, 15, 2, 4, 5, 4, 7, 15, 7, 15, 7, 15, 11, 7, 15, 7, 15, 7, 2, 6, 4]",192,34
2168,2168,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2048.0,15 7 15 2 4 5 4 7 15 7 15 7 15 11 7 15 7 15 7 2 6 4_4,"[15, 7, 15, 2, 4, 5, 4, 7, 15, 7, 15, 7, 15, 11, 7, 15, 7, 15, 7, 2, 6, 4]",192,34
2190,2190,15 7 15 2 4,5,0 0 0 0 0,2048.0,15 7 15 2 4_5,"[15, 7, 15, 2, 4]",43,35
1795,1795,15 7 15 2 4,5,0 0 0 0 0,1865.0,15 7 15 2 4_5,"[15, 7, 15, 2, 4]",43,35
2386,2386,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2205.0,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15_15,"[15, 7, 15, 2, 7, 15, 2, 5, 4, 5, 15, 7, 15, 2, 7, 15, 7, 15]",160,36
2385,2385,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2205.0,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15_15,"[15, 7, 15, 2, 7, 15, 2, 5, 4, 5, 15, 7, 15, 2, 7, 15, 7, 15]",160,36
2388,2388,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2205.0,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15_15,"[15, 7, 15, 2, 7, 15, 2, 5, 4, 5, 15, 7, 15, 2, 7, 15, 7, 15]",160,36
2387,2387,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2205.0,15 7 15 2 7 15 2 5 4 5 15 7 15 2 7 15 7 15_15,"[15, 7, 15, 2, 7, 15, 2, 5, 4, 5, 15, 7, 15, 2, 7, 15, 7, 15]",160,36
1591,1591,15 7 15 2 7,15,0 0 0 0 0,1683.0,15 7 15 2 7_15,"[15, 7, 15, 2, 7]",46,37
2401,2401,15 7 15 2 7,15,0 0 0 0 0,2205.0,15 7 15 2 7_15,"[15, 7, 15, 2, 7]",46,37
2191,2191,15 7 15 2,4,0 0 0 0,2048.0,15 7 15 2_4,"[15, 7, 15, 2]",39,38
1796,1796,15 7 15 2,4,0 0 0 0,1865.0,15 7 15 2_4,"[15, 7, 15, 2]",39,38
2402,2402,15 7 15 2,7,0 0 0 0,2205.0,15 7 15 2_7,"[15, 7, 15, 2]",39,39
1592,1592,15 7 15 2,7,0 0 0 0,1683.0,15 7 15 2_7,"[15, 7, 15, 2]",39,39
2216,2216,15 7 15 4 5 7 15 7 15 5 7 15 4 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2088.0,15 7 15 4 5 7 15 7 15 5 7 15 4 5_5,"[15, 7, 15, 4, 5, 7, 15, 7, 15, 5, 7, 15, 4, 5]",126,40
2217,2217,15 7 15 4 5 7 15 7 15 5 7 15 4 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2088.0,15 7 15 4 5 7 15 7 15 5 7 15 4 5_5,"[15, 7, 15, 4, 5, 7, 15, 7, 15, 5, 7, 15, 4, 5]",126,40
2218,2218,15 7 15 4 5 7 15 7 15 5 7 15 4 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2088.0,15 7 15 4 5 7 15 7 15 5 7 15 4 5_5,"[15, 7, 15, 4, 5, 7, 15, 7, 15, 5, 7, 15, 4, 5]",126,40
2219,2219,15 7 15 4 5 7 15 7 15 5 7 15 4 5,5,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2088.0,15 7 15 4 5 7 15 7 15 5 7 15 4 5_5,"[15, 7, 15, 4, 5, 7, 15, 7, 15, 5, 7, 15, 4, 5]",126,40
837,837,15 7 15 4 5,7,0 0 0 0 0,1194.0,15 7 15 4 5_7,"[15, 7, 15, 4, 5]",46,41
2230,2230,15 7 15 4 5,7,0 0 0 0 0,2088.0,15 7 15 4 5_7,"[15, 7, 15, 4, 5]",46,41
838,838,15 7 15 4,5,0 0 0 0,1194.0,15 7 15 4_5,"[15, 7, 15, 4]",41,42
2232,2232,15 7 15 4,5,0 0 0 0,2088.0,15 7 15 4_5,"[15, 7, 15, 4]",41,42
2256,2256,15 7 15 5 7 15 7 2 15 7 4 2 15 7 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2107.0,15 7 15 5 7 15 7 2 15 7 4 2 15 7 15 7_7,"[15, 7, 15, 5, 7, 15, 7, 2, 15, 7, 4, 2, 15, 7, 15, 7]",145,43
2257,2257,15 7 15 5 7 15 7 2 15 7 4 2 15 7 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2107.0,15 7 15 5 7 15 7 2 15 7 4 2 15 7 15 7_7,"[15, 7, 15, 5, 7, 15, 7, 2, 15, 7, 4, 2, 15, 7, 15, 7]",145,43
1777,1777,15 7 15 5 7,15,0 0 0 0 0,1853.0,15 7 15 5 7_15,"[15, 7, 15, 5, 7]",49,44
2269,2269,15 7 15 5 7,15,0 0 0 0 0,2107.0,15 7 15 5 7_15,"[15, 7, 15, 5, 7]",49,44
2333,2333,15 7 15 5,7,0 0 0 0,2173.0,15 7 15 5_7,"[15, 7, 15, 5]",42,45
1778,1778,15 7 15 5,7,0 0 0 0,1853.0,15 7 15 5_7,"[15, 7, 15, 5]",42,45
2270,2270,15 7 15 5,7,0 0 0 0,2107.0,15 7 15 5_7,"[15, 7, 15, 5]",42,45
1428,1428,15 7 15 7 15 2 5 7 1 2 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0,1633.0,15 7 15 7 15 2 5 7 1 2 15 7_7,"[15, 7, 15, 7, 15, 2, 5, 7, 1, 2, 15, 7]",98,46
1427,1427,15 7 15 7 15 2 5 7 1 2 15 7,7,0 0 0 0 0 0 0 0 0 0 0 0,1633.0,15 7 15 7 15 2 5 7 1 2 15 7_7,"[15, 7, 15, 7, 15, 2, 5, 7, 1, 2, 15, 7]",98,46
1174,1174,15 7 15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",169,47
1710,1710,15 7 15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",169,47
1884,1884,15 7 15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",154,48
1711,1711,15 7 15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",154,48
1175,1175,15 7 15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",154,48
1886,1886,15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",147,49
1712,1712,15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",147,49
1176,1176,15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",147,49
1320,1320,15 7 15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",147,49
1887,1887,15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",132,50
1714,1714,15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",132,50
1321,1321,15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",132,50
1177,1177,15 7 15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",132,50
1888,1888,15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",125,51
1322,1322,15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",125,51
1178,1178,15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",125,51
1715,1715,15 7 15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7, 15]",125,51
1179,1179,15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",110,52
1323,1323,15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",110,52
1716,1716,15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",110,52
1890,1890,15 7 15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7, 15, 7]",110,52
1717,1717,15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15]",103,53
1180,1180,15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15]",103,53
1324,1324,15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15]",103,53
1891,1891,15 7 15 7 15 7 15 7 15,7,0 0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15, 7, 15]",103,53
1718,1718,15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7]",88,54
1892,1892,15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7]",88,54
1325,1325,15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7]",88,54
1181,1181,15 7 15 7 15 7 15 7,15,0 0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7, 15, 7]",88,54
4244,4244,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,5095.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
2023,2023,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1956.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1893,1893,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1897.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1182,1182,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1381.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1326,1326,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1513.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1391,1391,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1601.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1625,1625,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1693.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1719,1719,15 7 15 7 15 7 15,7,0 0 0 0 0 0 0,1822.0,15 7 15 7 15 7 15_7,"[15, 7, 15, 7, 15, 7, 15]",81,55
1864,1864,15 7 15 7 15 7 2 15 7 4,4,0 0 0 0 0 0 0 0 0 0,1893.0,15 7 15 7 15 7 2 15 7 4_4,"[15, 7, 15, 7, 15, 7, 2, 15, 7, 4]",94,56
1865,1865,15 7 15 7 15 7 2 15 7 4,4,0 0 0 0 0 0 0 0 0 0,1893.0,15 7 15 7 15 7 2 15 7 4_4,"[15, 7, 15, 7, 15, 7, 2, 15, 7, 4]",94,56
1866,1866,15 7 15 7 15 7 2 15 7 4,4,0 0 0 0 0 0 0 0 0 0,1893.0,15 7 15 7 15 7 2 15 7 4_4,"[15, 7, 15, 7, 15, 7, 2, 15, 7, 4]",94,56
2372,2372,15 7 15 7 15 7 2,15,0 0 0 0 0 0 0,2190.0,15 7 15 7 15 7 2_15,"[15, 7, 15, 7, 15, 7, 2]",68,57
1869,1869,15 7 15 7 15 7 2,15,0 0 0 0 0 0 0,1893.0,15 7 15 7 15 7 2_15,"[15, 7, 15, 7, 15, 7, 2]",68,57
1184,1184,15 7 15 7 15 7,15,0 0 0 0 0 0,1381.0,15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7]",66,58
1327,1327,15 7 15 7 15 7,15,0 0 0 0 0 0,1513.0,15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7]",66,58
1392,1392,15 7 15 7 15 7,15,0 0 0 0 0 0,1601.0,15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7]",66,58
4245,4245,15 7 15 7 15 7,15,0 0 0 0 0 0,5095.0,15 7 15 7 15 7_15,"[15, 7, 15, 7, 15, 7]",66,58
